datetime,特价,股票,价格
2014/1/1,0,4972,1.29
2014/1/2,70,4902,1.29
2014/1/3,59,4843,1.29
2014/1/4,93,4750,1.29
2014/1/5,96,4654,1.29
2014/1/6,145,4509,1.29
2014/1/7,179,4329,1.29
2014/1/8,321,4104,1.29
2014/1/9,125,4459,1.09
2014/1/10,88,5043,1.09
2014/1/11,188,5239,1.09
2014/1/12,121,5118,1.09
2014/1/13,134,4984,1.09
2014/1/14,80,4904,1.09
2014/1/15,82,4822,1.09
2014/1/16,94,4728,1.19
2014/1/18,159,4464,1.19
2014/1/19,199,4265,1.19
2014/1/20,104,4161,1.19
2014/1/21,70,4091,1.19
2014/1/22,127,3964,1.09
2014/1/23,96,3868,1.09
2014/1/24,75,3793,1.09
2014/1/25,198,3595,1.09
2014/1/26,168,3427,1.09
2014/1/27,125,3302,1.09
2014/1/28,86,3216,1.09
2014/1/29,222,2994,0.99
2014/1/30,272,2723,0.99
2014/1/31,209,2514,0.99
2014/2/1,369,2145,0.99
2014/2/2,217,1928,0.99
2014/2/3,97,1831,0.99
2014/2/4,117,1714,0.99
2014/2/5,100,1998,1.29
2014/2/6,64,2126,1.29
2014/2/7,35,2091,1.29
2014/2/8,54,2037,1.29
2014/2/9,55,1982,1.29
2014/2/12,8,7228,1.29
2014/2/13,43,7185,1.09
2014/2/14,107,7078,1.09
2014/2/15,116,6962,1.09
2014/2/16,87,6875,1.09
2014/2/17,66,6809,1.09
2014/2/18,44,6765,1.09
2014/2/19,33,6731,1.09
2014/2/20,13,6718,1.09
2014/2/21,53,6665,1.09
2014/2/22,72,6593,1.09
2014/2/23,50,6543,1.09
2014/2/24,15,6528,1.09
2014/2/25,12,6516,1.09
2014/2/26,71,6445,1.09
2014/2/27,37,6412,1.09
2014/2/28,83,6329,1.09
2014/3/1,94,6237,1.09
2014/3/2,59,6178,1.09
2014/3/3,49,6129,1.09
2014/3/5,65,6012,1.09
2014/3/6,55,5957,1.09
2014/3/7,77,5880,1.09
2014/3/8,122,5755,1.09
2014/3/9,83,5672,1.09
2014/3/10,75,5597,1.09
2014/3/11,48,5549,1.09
2014/3/12,45,5504,1.29
2014/3/13,78,4659,1.29
2014/3/14,122,4537,1.29
2014/3/16,116,4274,1.29
2014/3/17,48,4228,1.29
2014/3/18,29,4199,1.29
2014/3/19,91,4107,1.29
2014/3/20,59,4048,1.29
2014/3/21,68,3980,1.29
2014/3/22,137,3843,1.28
2014/3/23,56,3787,1.29
2014/3/24,13,3774,1.29
2014/3/25,45,3729,1.29
2014/3/26,25,3704,1.29
2014/3/27,25,3679,1.29
2014/3/28,174,3505,1.19
2014/3/29,138,3367,1.09
2014/3/30,64,3303,1.09
2014/3/31,77,3226,1.09
2014/4/1,62,3164,1.09
2014/4/2,119,3045,1.09
2014/4/3,89,2956,1.09
2014/4/4,133,2823,1.09
2014/4/5,180,2643,1.09
2014/4/6,121,2522,1.09
2014/4/7,72,2450,1.09
2014/4/8,91,2359,1.09
2014/4/9,53,2306,1.09
2014/4/10,47,2259,1.09
2014/4/11,42,2217,1.09
2014/4/12,124,2092,1.09
2014/4/13,97,1995,1.09
2014/4/14,119,1875,1.09
2014/4/15,34,1841,1.29
2014/4/16,18,1823,1.29
2014/4/17,24,1799,1.29
2014/4/18,57,1742,1.29
2014/4/19,61,1681,1.29
2014/4/20,30,1651,1.29
2014/4/21,96,1554,1.29
2014/4/22,0,1525,1.29
2014/4/23,37,1488,1.29
2014/4/24,30,1458,1.29
2014/4/25,38,1420,1.29
2014/4/26,88,1332,1.29
2014/4/27,64,1268,1.29
2014/4/28,13,1255,1.29
2014/4/29,20,1255,1.29
2014/4/30,31,1457,1.29
2014/5/1,129,1263,1.29
2014/5/2,94,1169,1.29
2014/5/3,129,1904,1.29
2014/5/4,126,1778,1.29
2014/5/5,70,1708,1.29
2014/5/6,48,1708,1.29
2014/5/7,123,2044,1.29
2014/5/8,87,1930,1.29
2014/5/9,65,1961,1.29
2014/5/10,102,1859,1.29
2014/5/11,78,1781,1.29
2014/5/12,49,1828,1.29
2014/5/13,0,1800,1.29
2014/5/14,68,1687,1.09
2014/5/15,102,1969,1.09
2014/5/16,88,1977,1.09
2014/5/17,170,1807,1.09
2014/5/18,152,1655,1.09
2014/5/19,90,1661,1.09
2014/5/20,101,1751,1.09
2014/5/21,71,1680,1.43
2014/5/22,48,2016,1.49
2014/5/23,40,1976,1.49
2014/5/24,93,1883,1.49
2014/5/25,45,1838,1.49
2014/5/26,58,1876,1.49
2014/5/27,53,1919,1.49
2014/5/28,42,3317,1.49
2014/5/29,52,3841,1.49
2014/5/30,29,3811,1.99
2014/5/31,91,3720,1.99
2014/6/1,75,3645,1.99
2014/6/2,75,3570,1.99
2014/6/3,179,3391,1.19
2014/6/4,252,3140,1.19
2014/6/5,202,2938,1.19
2014/6/6,161,2777,1.19
2014/6/7,331,2446,1.19
2014/6/8,271,2175,1.19
2014/6/9,146,1949,1.19
2014/6/10,2,1946,1.19
2014/6/11,2,2136,1.19
2014/6/12,0,2136,0
2014/6/13,0,2328,1.49
2014/6/14,0,2328,1.49
2014/6/15,13,2315,1.49
2014/6/16,30,2285,1.49
2014/6/17,34,2251,1.49
2014/6/18,8,2243,1.49
2014/6/19,67,2176,1.29
2014/6/20,41,2135,1.29
2014/6/21,89,2046,1.29
2014/6/22,49,1997,1.29
2014/6/23,62,2031,1.29
2014/6/24,81,2046,1.29
2014/6/25,42,2004,1.29
2014/6/26,63,2037,1.29
2014/6/27,107,1930,1.18
2014/6/28,83,1847,1.19
2014/6/29,102,1745,1.19
2014/6/30,62,1779,1.29
2014/7/1,29,1750,1.29
2014/7/2,63,1687,1.29
2014/7/3,97,1590,1.29
2014/7/4,136,1454,1.29
2014/7/5,335,1119,1.29
2014/7/6,299,820,1.29
2014/7/7,5,814,1.29
2014/7/8,2,812,1.29
2014/7/9,9,803,1.29
2014/7/10,9,794,1.29
2014/7/11,0,794,1.29
2014/7/12,0,794,1.29
2014/7/13,0,794,1.29
2014/7/14,0,794,1.29
2014/7/15,0,794,0
2014/7/16,0,794,0
2014/7/17,0,794,0
2014/7/18,0,794,0
2014/7/19,0,794,1.49
2014/7/20,0,794,1.49
2014/7/21,0,794,1.49
2014/7/22,2,792,1.49
2014/7/23,0,792,1.49
2014/7/24,0,888,1.49
2014/7/25,15,873,1.49
2014/7/26,9,864,1.49
2014/7/27,13,851,1.49
2014/7/28,15,1220,1.22
2014/7/29,26,1207,2.98
2014/7/30,16,1191,1.55
2014/7/31,51,1140,1.55
2014/8/1,47,1093,1.55
2014/8/2,56,1037,1.55
2014/8/3,45,992,1.55
2014/8/4,40,952,1.55
2014/8/5,17,935,1.55
2014/8/6,103,832,1.29
2014/8/7,72,760,1.29
2014/8/8,56,704,1.29
2014/8/9,0,704,1.29
2014/8/10,1,703,1.29
2014/8/11,0,703,1.29
2014/8/12,0,703,1.29
2014/8/13,0,703,1.29
2014/8/14,0,703,1.29
2014/8/15,0,703,1.55
2014/8/16,0,703,1.55
2014/8/17,0,703,1.55
2014/8/18,0,2143,1.55
2014/8/19,0,2143,1.55
2014/8/20,68,2075,1.55
2014/8/21,169,1908,1.19
2014/8/22,213,1695,1.19
2014/8/23,338,1356,1.19
2014/8/24,129,1227,1.19
2014/8/26,13,1271,1.19
2014/8/27,85,1186,1.19
2014/8/28,0,1186,0
2014/8/29,0,1186,1.29
2014/8/30,0,1186,1.29
2014/8/31,0,1186,1.29
2014/9/1,0,1474,1.29
2014/9/2,0,1474,1.29
2014/9/3,0,1474,1.29
2014/9/4,0,1474,1.29
2014/9/5,0,2146,1.29
2014/9/6,0,2146,1.29
2014/9/7,0,2146,1.29
2014/9/8,64,2082,1.29
2014/9/9,154,1928,1.29
2014/9/10,143,1785,1.29
2014/9/11,96,1689,1.29
2014/9/12,140,1549,1.29
2014/9/13,67,1484,1.29
2014/9/14,3,1481,1.29
2014/9/15,71,1410,1.29
2014/9/16,58,1352,1.29
2014/9/17,62,1962,1.29
2014/9/18,62,1996,1.29
2014/9/19,62,2126,1.29
2014/9/20,168,2532,1.29
2014/9/21,99,2433,1.29
2014/9/22,39,2394,1.29
2014/9/23,64,2285,1.29
2014/9/24,117,2168,1.29
2014/9/25,104,2064,1.29
2014/9/26,108,1956,1.29
2014/9/27,234,1014,1.29
2014/9/28,97,917,1.29
2014/9/29,85,832,1.29
2014/9/30,88,1896,1.29
2014/10/1,190,1801,1.29
2014/10/2,163,1637,1.29
2014/10/3,90,1835,1.29
2014/10/4,105,1730,1.29
2014/10/5,47,1683,1.29
2014/10/6,66,2097,1.29
2014/10/7,84,2109,1.29
2014/10/8,80,2028,1.29
2014/10/9,97,1934,1.29
2014/10/10,64,2254,1.29
2014/10/11,128,2126,1.29
2014/10/12,85,2041,1.29
2014/10/13,50,2087,1.29
2014/10/14,91,1996,1.29
2014/10/15,93,1903,1.29
2014/10/16,50,1852,1.29
2014/10/17,85,2246,1.29
2014/10/18,129,2117,1.29
2014/10/19,119,1998,1.29
2014/10/20,45,2049,1.29
2014/10/21,78,2067,1.29
2014/10/22,90,1977,1.29
2014/10/23,78,1899,1.29
2014/10/24,62,1837,1.29
2014/10/25,97,1740,1.29
2014/10/26,111,1629,1.29
2014/10/27,55,1574,1.29
2014/10/28,60,1510,1.29
2014/10/29,61,1449,1.29
2014/10/30,81,1368,1.49
2014/10/31,131,1237,1.49
2014/11/1,160,1077,1.49
2014/11/2,131,946,1.49
2014/11/3,43,903,1.49
2014/11/4,34,869,1.49
2014/11/5,33,836,1.49
2014/11/6,37,799,1.49
2014/11/7,82,717,1.49
2014/11/8,542,175,1.49
2014/11/9,239,0,1.49
2014/11/10,51,0,1.49
2014/11/11,51,80,1.49
2014/11/12,41,34,1.49
2014/11/13,1,33,1.49
2014/11/14,0,33,1.49
2014/11/15,1,32,1.49
2014/11/16,0,32,1.49
2014/11/17,0,32,1.49
2014/11/18,7,25,1.49
2014/11/19,1,24,1.49
2014/11/20,4,20,1.29
2014/11/21,1,19,1.29
2014/11/22,1,18,1.29
2014/11/23,2,16,1.29
2014/11/24,0,16,1.29
2014/11/25,0,16,1.29
2014/11/26,0,16,1.29
2014/11/27,0,16,1.29
2014/11/28,0,16,1.29
2014/11/29,0,16,1.29
2014/11/30,0,16,1.29
2014/12/1,0,16,1.29
2014/12/2,0,16,1.29
2014/12/3,0,16,1.29
2014/12/4,0,16,1.29
2014/12/5,0,16,1.49
2014/12/6,0,16,1.49
2014/12/7,0,16,1.49
2014/12/8,0,16,1.49
2014/12/9,0,16,1.49
2014/12/10,0,16,1.49
2014/12/11,0,16,1.49
2014/12/12,0,16,1.49
2014/12/13,0,16,1.49
2014/12/14,0,16,1.49
2014/12/15,0,688,1.49
2014/12/16,49,735,1.49
2014/12/17,157,578,1.29
2014/12/18,193,385,1.29
2014/12/19,94,291,1.29
2014/12/20,135,156,1.29
2014/12/21,118,38,1.29
2014/12/22,18,116,1.29
2014/12/23,0,116,1.29
2014/12/24,14,102,1.29
2014/12/25,0,102,1.29
2014/12/26,20,82,1.29
2014/12/27,42,328,1.29
2014/12/28,45,283,1.29
2014/12/29,55,612,1.29
2014/12/30,59,553,1.29
2014/12/31,11,542,1.29
2015/1/1,0,542,1.29
2015/1/2,77,561,1.29
2015/1/3,60,2229,1.29
2015/1/4,1,2228,1.29
2015/1/5,69,2351,1.29
2015/1/6,98,2253,1.29
2015/1/7,119,2134,1.29
2015/1/8,93,2137,1.29
2015/1/9,92,2045,1.29
2015/1/10,112,1933,1.29
2015/1/11,96,1837,1.29
2015/1/12,93,1744,1.29
2015/1/13,65,1679,1.29
2015/1/14,100,1581,1.29
2015/1/15,51,1530,1.49
2015/1/16,55,1475,1.49
2015/1/17,71,1403,1.49
2015/1/18,57,1346,1.49
2015/1/19,34,1312,1.49
2015/1/20,47,1265,1.49
2015/1/21,88,1177,1.29
2015/1/22,51,1126,1.29
2015/1/23,49,1076,1.29
2015/1/24,110,966,1.29
2015/1/25,30,936,1.29
2015/1/26,59,877,1.29
2015/1/27,97,780,1.29
2015/1/28,155,625,1.29
2015/1/29,125,500,1.29
2015/1/30,100,496,1.29
2015/1/31,211,285,1.29
2015/2/1,88,197,1.29
2015/2/2,114,467,1.29
2015/2/3,89,570,1.29
2015/2/4,118,548,1.29
2015/2/5,84,1136,1.29
2015/2/6,125,1299,1.29
2015/2/7,184,1211,1.04
2015/2/8,107,1104,1.29
2015/2/9,70,1033,1.29
2015/2/10,66,1063,1.29
2015/2/11,89,974,1.29
2015/2/12,50,1116,2.84
2015/2/13,20,1096,2.89
2015/2/14,77,1019,2.89
2015/2/15,33,986,2.89
2015/2/16,47,1035,2.89
2015/2/17,35,1000,2.89
2015/2/18,60,1228,2.89
2015/2/19,31,1197,2.89
2015/2/20,35,1162,2.89
2015/2/21,80,1082,2.87
2015/2/22,42,1039,2.89
2015/2/23,23,1016,2.89
2015/2/24,19,997,2.89
2015/2/25,18,1075,2.89
2015/2/26,37,1134,2.89
2015/2/27,50,1084,2.89
2015/2/28,127,957,2.89
2015/3/1,123,834,2.89
2015/3/2,44,789,2.89
2015/3/3,22,767,2.89
2015/3/4,31,736,2.89
2015/3/5,22,714,2.89
2015/3/6,40,674,2.89
2015/3/7,62,612,2.89
2015/3/8,59,553,2.89
2015/3/9,28,525,2.89
2015/3/10,68,458,1.49
2015/3/11,73,385,1.49
2015/3/12,87,298,1.49
2015/3/13,175,1878,1.29
2015/3/14,300,1575,1.29
2015/3/15,196,1379,1.29
2015/3/16,123,1256,1.29
2015/3/17,168,1088,1.29
2015/3/18,209,1263,1.29
2015/3/19,188,1075,1.29
2015/3/20,219,856,1.29
2015/3/21,381,475,1.29
2015/3/22,158,317,1.29
2015/3/23,12,304,1.49
2015/3/24,8,296,1.29
2015/3/25,10,286,1.29
2015/3/26,88,774,1.29
2015/3/27,196,770,1.29
2015/3/28,206,660,1.29
2015/3/29,83,577,1.29
2015/3/30,0,673,1.49
2015/3/31,0,673,1.49
2015/4/1,27,646,1.49
2015/4/2,27,1002,1.49
2015/4/3,54,1044,1.49
2015/4/4,136,908,1.49
2015/4/5,55,853,1.49
2015/4/6,22,831,1.49
2015/4/7,30,801,1.49
2015/4/8,30,771,1.49
2015/4/9,30,930,1.49
2015/4/10,44,1078,1.49
2015/4/11,39,1423,1.49
2015/4/12,57,1366,1.49
2015/4/13,30,1336,1.49
2015/4/14,47,1385,1.49
2015/4/15,74,1311,1.49
2015/4/16,114,1196,1.39
2015/4/17,40,1156,1.39
2015/4/18,62,1094,1.39
2015/4/19,62,1032,1.39
2015/4/20,135,897,1.39
