datetime,特价,股票,价格
2015/4/21,175,722,1.39
2015/4/22,82,736,1.39
2015/4/23,62,674,1.4
2015/4/24,88,586,1.4
2015/4/25,152,434,1.4
2015/4/26,64,370,1.4
2015/4/27,67,591,1.4
2015/4/28,73,806,1.39
2015/4/29,130,676,1.39
2015/4/30,115,657,1.39
2015/5/1,260,397,1.39
2015/5/2,228,169,1.39
2015/5/3,120,49,1.39
2015/5/4,31,18,1.39
2015/5/5,0,18,1.39
2015/5/6,3,15,1.39
2015/5/7,0,15,1.39
2015/5/8,0,15,1.39
2015/5/9,0,15,0
2015/5/10,0,15,1.49
2015/5/11,1,14,1.49
2015/5/12,0,14,1.49
2015/5/13,1,13,1.49
2015/5/14,1,12,1.49
2015/5/15,1,10,1.49
2015/5/16,0,10,1.49
2015/5/17,0,10,1.49
2015/5/18,0,10,1.49
2015/5/19,1,9,1.49
2015/5/20,0,9,1.49
2015/5/21,0,9,1.49
2015/5/22,0,9,1.49
2015/5/23,0,9,1.49
2015/5/24,0,9,1.49
2015/5/25,0,9,1.39
2015/5/26,0,9,1.39
2015/5/27,0,9,1.39
2015/5/28,0,9,1.39
2015/5/29,0,9,1.39
2015/5/30,0,9,1.39
2015/5/31,0,9,1.39
2015/6/1,0,105,1.39
2015/6/2,0,105,1.39
2015/6/3,0,105,1.39
2015/6/4,0,105,1.39
2015/6/5,168,1377,1.39
2015/6/6,201,1176,1.2
2015/6/7,147,1029,1.19
2015/6/8,119,910,1.19
2015/6/9,122,788,1.19
2015/6/10,149,639,1.19
2015/6/11,111,720,1.19
2015/6/12,95,721,1.19
2015/6/13,237,675,1.19
2015/6/14,110,565,1.19
2015/6/15,104,653,1.19
2015/6/16,61,592,1.19
2015/6/17,40,1127,1.29
2015/6/18,114,1301,1.29
2015/6/19,129,1172,1.29
2015/6/20,111,1061,1.29
2015/6/21,146,915,1.29
2015/6/22,57,858,1.49
2015/6/23,19,839,1.49
2015/6/24,27,1291,1.49
2015/6/25,62,1229,1.49
2015/6/26,95,1902,1.49
2015/6/27,183,1719,1.39
2015/6/28,94,1624,1.39
2015/6/29,116,1606,1.39
2015/6/30,63,1543,1.39
2015/7/1,147,1396,1.39
2015/7/2,101,1295,1.39
2015/7/3,248,1047,1.29
2015/7/4,142,905,1.29
2015/7/5,186,719,1.29
2015/7/6,109,898,1.29
2015/7/7,228,957,1.29
2015/7/8,66,1083,1.29
2015/7/9,182,901,1.29
2015/7/10,1,996,1.29
2015/7/11,64,1124,1.29
2015/7/12,118,1006,1.29
2015/7/13,55,950,1.29
2015/7/14,43,907,1.27
2015/7/15,95,812,1.28
2015/7/16,54,758,1.28
2015/7/17,85,673,1.28
2015/7/18,92,869,1.27
2015/7/19,61,808,1.28
2015/7/20,111,697,1.27
2015/7/21,7,1170,1.28
2015/7/22,4,1262,1.28
2015/7/23,66,1292,1.27
2015/7/24,95,1197,1.28
2015/7/25,190,1103,1.27
2015/7/26,60,1043,1.28
2015/7/27,42,1097,1.27
2015/7/28,79,1306,1.27
2015/7/29,109,1581,1.27
2015/7/30,165,1416,1.28
2015/7/31,99,1317,1.27
2015/8/1,233,1084,1.48
2015/8/2,16,1067,1.48
2015/8/3,2,1065,1.46
2015/8/4,5,1060,1.47
2015/8/5,22,1038,1.48
2015/8/6,8,1030,1.49
2015/8/7,65,321,1.48
2015/8/8,157,451,1.48
2015/8/9,65,386,1.48
2015/8/10,90,296,1.48
2015/8/11,3,1157,1.18
2015/8/12,5,1152,1.18
2015/8/13,1,2015,1.19
2015/8/14,65,2046,1.18
2015/8/15,235,1811,1.17
2015/8/16,76,1735,1.18
2015/8/17,2,1733,1.19
2015/8/18,101,1632,1.18
2015/8/19,162,1470,1.17
2015/8/20,25,1446,1.17
2015/8/21,4,1442,1.16
2015/8/22,1,1441,1.19
2015/8/23,75,1366,1.17
2015/8/24,32,1334,1.18
2015/8/25,76,1258,1.18
2015/8/26,6,1252,1.17
2015/8/27,65,1285,1.18
2015/8/28,145,1140,1.17
2015/8/29,78,1062,1.17
2015/8/30,6,1055,1.18
2015/8/31,0,1151,1.19
2015/9/1,126,1217,1.18
2015/9/2,240,1073,1.17
2015/9/3,67,1006,1.68
2015/9/4,140,863,1.68
2015/9/5,208,655,1.68
2015/9/6,76,579,1.68
2015/9/7,240,339,1.68
2015/9/8,52,575,1.01
2015/9/9,111,464,0.94
2015/9/10,176,288,0.97
2015/9/11,84,300,1.01
2015/9/12,171,129,1
2015/9/13,102,27,0.99
2015/9/14,69,0,0.97
2015/9/15,77,0,0.93
2015/9/16,174,0,0.97
2015/9/17,69,0,1.68
2015/9/18,52,930,1.68
2015/9/19,42,1080,1.68
2015/9/20,1,1079,1.69
2015/9/21,62,1016,1.68
2015/9/22,88,928,1.68
2015/9/23,60,1348,1.68
2015/9/24,2,1442,1.66
2015/9/25,3,1631,1.69
2015/9/26,9,1622,1.76
2015/9/27,142,1480,1.78
2015/9/28,90,1580,1.78
2015/9/29,20,1560,1.78
2015/9/30,37,1523,1.78
2015/10/1,86,1437,1.78
2015/10/2,166,1367,1.78
2015/10/3,391,976,1.48
2015/10/4,56,919,1.47
2015/10/5,64,951,1.47
2015/10/6,35,916,1.48
2015/10/7,40,875,1.47
2015/10/8,21,1526,1.48
2015/10/9,42,1484,1.48
2015/10/10,95,1389,1.48
2015/10/11,85,1304,1.48
2015/10/12,140,1356,1.47
2015/10/13,80,1276,1.48
2015/10/14,91,1185,1.48
2015/10/15,65,1120,1.48
2015/10/16,166,1146,1.48
2015/10/17,137,1297,1.48
2015/10/18,174,1123,1.48
2015/10/19,120,1291,1.48
2015/10/20,93,1198,1.78
2015/10/21,100,1096,1.78
2015/10/22,137,1055,1.27
2015/10/23,241,1006,1.27
2015/10/24,113,893,1.27
2015/10/25,257,636,1.28
2015/10/26,166,474,1.28
2015/10/27,162,312,1.28
2015/10/28,247,1121,1.28
2015/10/29,70,1435,1.78
2015/10/30,139,1296,1.35
2015/10/31,195,1293,1.34
2015/11/1,206,1087,1.34
2015/11/2,268,819,1.35
2015/11/3,59,760,1.35
2015/11/4,99,1237,1.34
2015/11/5,63,1366,1.75
2015/11/6,77,1577,1.76
2015/11/7,232,1345,2.18
2015/11/8,157,1188,2.18
2015/11/9,107,1081,2.19
2015/11/10,57,1023,2.18
2015/11/11,95,930,2.18
2015/11/12,86,844,2.19
2015/11/13,102,742,2.19
2015/11/14,184,846,1.79
2015/11/15,138,708,1.79
2015/11/16,106,698,2.19
2015/11/17,89,609,2.19
2015/11/18,107,502,2.19
2015/11/19,78,424,2.19
2015/11/20,185,238,2.19
2015/11/21,151,87,2.19
2015/11/22,97,0,2.19
2015/11/23,76,0,2.19
2015/11/24,140,0,2.19
2015/11/25,137,0,2.67
2015/11/26,84,0,2.69
2015/11/27,0,0,2.69
2015/11/28,7,0,2.69
2015/11/29,5,0,2.69
2015/11/30,22,0,2.69
2015/12/1,36,0,2.29
2015/12/2,36,1655,2.29
2015/12/3,38,2001,2.29
2015/12/4,95,1905,2.29
2015/12/5,108,1893,2.25
2015/12/6,70,1823,2.29
2015/12/7,78,1745,2.29
2015/12/8,77,1668,2.29
2015/12/9,76,1880,2.29
2015/12/10,59,1821,2.29
2015/12/11,42,1779,2.29
2015/12/12,142,1637,2.29
2015/12/13,116,1521,2.29
2015/12/14,57,1848,2.29
2015/12/15,167,1681,2.29
2015/12/16,154,1527,2.29
2015/12/17,139,1964,1.39
2015/12/18,192,1772,1.39
2015/12/19,295,2533,1.39
2015/12/20,311,2222,1.39
2015/12/21,251,1971,1.39
2015/12/22,377,1594,1.39
2015/12/23,410,1184,1.39
2015/12/24,161,1023,1.39
2015/12/25,0,1023,1.39
2015/12/26,212,811,1.39
2015/12/27,106,705,1.39
2015/12/28,100,604,1.39
2015/12/29,9,595,1.39
2015/12/30,0,595,1.39
2015/12/31,0,595,1.39
2016/1/1,0,595,1.39
2016/1/2,3,592,1.39
2016/1/3,0,592,2.29
2016/1/4,0,592,1.46
2016/1/5,3,589,1.46
2016/1/6,3,586,1.46
2016/1/7,0,586,1.46
2016/1/8,2,584,1.46
2016/1/9,0,584,0
2016/1/10,3,581,1.46
2016/1/11,0,581,1.46
2016/1/12,103,478,1.46
2016/1/13,164,314,1.46
2016/1/14,118,196,1.46
2016/1/15,65,131,1.46
2016/1/16,24,107,1.46
2016/1/17,0,107,0
2016/1/18,1,106,1.46
2016/1/19,0,106,1.46
2016/1/20,1,105,1.46
2016/1/21,60,3213,1.46
2016/1/22,103,3110,1.35
2016/1/23,263,2847,1.39
2016/1/24,189,2658,1.39
2016/1/25,197,2461,1.39
2016/1/26,105,2356,1.46
2016/1/27,129,2227,1.46
2016/1/28,144,2083,1.46
2016/1/29,173,1910,1.79
2016/1/30,293,1617,1.79
2016/1/31,219,1398,1.79
2016/2/1,131,1267,1.79
2016/2/2,184,1083,1.79
2016/2/3,266,817,1.79
2016/2/4,98,815,2.18
2016/2/5,67,1420,2.29
2016/2/6,85,1335,2.29
2016/2/7,78,1257,2.29
2016/2/8,71,1185,2.19
2016/2/9,113,1072,2.19
2016/2/10,138,1894,2.19
2016/2/11,98,1796,2.19
2016/2/12,96,1700,2.19
2016/2/13,190,1510,2.19
2016/2/14,105,1510,2.19
2016/2/15,25,1510,2.19
2016/2/16,47,1909,2.19
2016/2/17,63,1845,2.19
2016/2/18,39,1806,2.19
2016/2/19,35,1771,2.19
2016/2/20,77,1982,2.19
2016/2/21,60,1922,2.19
2016/2/22,52,1870,2.19
2016/2/23,51,1819,2.19
2016/2/24,37,1782,2.19
2016/2/25,42,1740,2.19
2016/2/26,89,1651,2.19
2016/2/27,217,1367,2.19
2016/2/28,197,1170,2.19
2016/2/29,81,1089,2.19
2016/3/1,58,1607,2.19
2016/3/2,120,1487,2.19
2016/3/3,64,1423,2.19
2016/3/4,64,1743,2.59
2016/3/5,76,1667,2.59
2016/3/6,86,1581,2.59
2016/3/7,98,1867,2.59
2016/3/8,53,1814,2.59
2016/3/9,38,1774,2.59
2016/3/10,46,1728,2.19
2016/3/11,45,1779,2.19
2016/3/12,67,1712,2.19
2016/3/13,52,1660,2.19
2016/3/14,24,1825,2.19
2016/3/15,51,1774,2.19
2016/3/16,127,1647,2.19
2016/3/17,75,1572,2.19
2016/3/18,62,1510,2.19
2016/3/19,128,1478,1.99
2016/3/20,138,1340,1.99
2016/3/21,74,1554,1.99
2016/3/22,73,1480,2.59
2016/3/23,100,1380,2.59
2016/3/24,71,1501,2.59
2016/3/25,99,1402,2.59
2016/3/26,102,1396,2.59
2016/3/27,57,1339,2.59
2016/3/28,23,1507,2.59
2016/3/29,35,1760,2.59
2016/3/30,59,1701,2.59
2016/3/31,41,1660,2.59
2016/4/1,68,1592,2.59
2016/4/2,84,1508,2.59
2016/4/3,42,1466,2.59
2016/4/4,95,1659,2.59
2016/4/5,85,1574,2.59
2016/4/6,102,1472,2.59
2016/4/7,111,1457,2.59
2016/4/8,113,1344,2.59
2016/4/9,208,1136,2.59
2016/4/10,148,988,2.59
2016/4/11,123,2017,2.59
2016/4/12,62,1955,2.59
2016/4/13,129,1825,2.59
2016/4/14,102,1723,2.59
2016/4/15,110,3917,2.59
2016/4/16,202,3715,2.59
2016/4/17,144,3571,2.59
2016/4/18,84,3487,2.59
2016/4/19,127,3360,1.89
2016/4/20,181,3179,1.89
2016/4/21,268,2911,1.89
2016/4/22,278,2636,1.89
2016/4/23,234,2402,1.89
2016/4/24,133,2269,1.89
2016/4/25,91,2178,1.89
2016/4/26,83,2095,2.59
2016/4/27,139,1956,2.59
2016/4/28,113,1843,2.59
2016/4/29,141,1702,2.59
2016/4/30,228,1474,2.59
2016/5/1,163,1311,2.59
2016/5/2,0,1605,2.59
2016/5/3,125,1768,2.57
2016/5/4,180,1876,2.59
2016/5/5,222,1846,1.88
2016/5/6,243,1602,1.89
2016/5/7,408,1196,1.89
2016/5/8,181,1014,1.89
2016/5/9,176,838,1.88
2016/5/10,178,660,1.89
2016/5/11,310,348,1.38
2016/5/12,134,213,1.89
2016/5/13,132,81,1.89
2016/5/14,1,80,1.89
2016/5/15,0,80,0
2016/5/16,0,80,2.59
2016/5/17,0,2383,2.59
2016/5/18,110,2262,2.59
2016/5/19,81,2181,2.59
2016/5/20,112,2069,2.59
2016/5/21,186,2069,2.59
2016/5/22,113,1770,2.59
2016/5/23,86,1684,2.59
2016/5/24,59,1817,2.59
2016/5/25,94,5946,2.59
2016/5/26,167,5779,2.59
2016/5/27,244,5535,2.59
2016/5/28,261,5273,2.59
2016/5/29,187,5085,2.59
2016/5/30,115,4970,2.59
2016/5/31,139,4831,2.59
2016/6/1,273,4558,2.59
2016/6/2,235,4323,2.59
2016/6/3,172,4151,2.59
2016/6/4,323,3828,2.59
2016/6/5,336,3492,2.59
2016/6/6,127,3365,2.59
2016/6/7,137,3228,2.59
2016/6/8,249,2979,2.59
2016/6/9,201,2778,2.59
2016/6/10,271,2507,1.81
2016/6/11,512,2187,1.65
2016/6/12,317,1870,1.66
2016/6/13,224,1646,1.66
2016/6/14,239,1407,1.63
2016/6/15,377,1182,1.63
2016/6/16,239,1423,1.69
2016/6/17,243,1756,1.66
2016/6/18,438,1318,1.66
2016/6/19,334,985,1.68
2016/6/20,149,836,2.59
2016/6/21,32,803,2.59
2016/6/22,39,2204,2.59
2016/6/23,42,2738,2.59
2016/6/24,64,2674,2.39
2016/6/25,170,2504,2.39
2016/6/26,132,2372,2.39
2016/6/27,123,2249,2.39
2016/6/28,78,2171,2.39
2016/6/29,130,2041,2.39
2016/6/30,141,1900,2.39
2016/7/1,247,1653,2.39
2016/7/2,322,1331,2.39
2016/7/3,196,1135,2.39
2016/7/4,172,963,2.39
2016/7/5,218,1413,2.39
2016/7/6,216,1965,2.39
2016/7/7,179,1882,2.39
2016/7/8,32,2234,2.39
2016/7/9,95,2139,2.39
2016/7/10,78,2061,2.39
2016/7/11,122,1939,2.39
2016/7/12,164,1967,1.89
2016/7/13,288,1670,1.89
2016/7/14,138,1532,1.89
2016/7/15,189,1343,1.89
2016/7/16,321,1022,1.89
2016/7/17,209,813,1.89
2016/7/18,161,1420,1.89
2016/7/19,157,1359,1.89
2016/7/20,283,1075,1.89
2016/7/21,60,1015,2.39
2016/7/22,98,917,2.39
2016/7/23,133,1550,2.39
2016/7/24,130,1420,2.39
2016/7/25,62,1358,2.39
2016/7/26,97,2893,2.39
2016/7/27,98,3179,2.39
2016/7/28,108,3071,2.39
2016/7/29,128,4095,2.39
2016/7/30,270,3825,2.39
2016/7/31,183,3642,2.39
